"","number","trial_type","quantifier","Answer.condition","QUD","item","workerid","Answer.time_in_minutes","slide_number","context","response","language","age","gender","comments","assess"
"537","two","one_slider","every","undefined","all","butterflies",536,1.62218333333333,3,"with",0.96,"English",39,"Female","","Yes"
"539","four","one_slider","every","undefined","all","frogs",538,1.92295,3,"without",0.66,"English",69,"Female","","Yes"
"541","two","one_slider","every","undefined","all","dinosaurs",540,0.921433333333333,3,"without",0.95,"English",24,"Male","","Yes"
"544","four","one_slider","every","undefined","none","dinosaurs",543,1.92786666666667,3,"without",0.7,"English",46,"Female","","Yes"
"545","two","one_slider","every","undefined","none","frogs",544,1.54553333333333,3,"with",0.01,"Enligsh",38,"Male","","Yes"
"553","four","one_slider","every","undefined","many","dinosaurs",552,2.13366666666667,3,"with",0.96,"English",59,"Female","What elephant said was true - not every dinosaur ate bugs - but the two that did not just did not eat bugs because they were full.  A little confusing but understandable. ","Yes"
"556","four","one_slider","every","undefined","none","lions",555,2.78863333333333,3,"without",0.49,"AENGLISH",73,"Female","","Yes"
"557","four","one_slider","every","undefined","many","lions",556,3.82403333333333,3,"with",0.99,"english",45,"Female","","Yes"
"559","four","one_slider","every","undefined","none","frogs",558,1.80171666666667,3,"without",0.36,"English",44,"Female","","Yes"
"560","four","one_slider","every","undefined","many","butterflies",559,1.96753333333333,3,"with",0,"English",34,"Female","","Yes"
"563","four","one_slider","every","undefined","many","butterflies",562,2.3804,3,"without",0.94,"English",68,"Male","","Yes"
"566","four","one_slider","every","undefined","none","butterflies",565,1.8478,3,"without",0.98,"English",32,"Female","","Yes"
"567","four","one_slider","every","undefined","none","butterflies",566,1.92485,3,"without",0.06,"English",48,"Male","","Yes"
"568","four","one_slider","every","undefined","all","butterflies",567,1.48501666666667,3,"without",1,"English",46,"Male","","Yes"
"570","four","one_slider","every","undefined","none","lions",569,1.33986666666667,3,"without",0.14,"English",33,"Female","Thanks!","Yes"
"572","two","one_slider","every","undefined","all","butterflies",571,2.26556666666667,3,"without",1,"English",63,"Male","n/a","Yes"
"575","two","one_slider","every","undefined","many","lions",574,1.17755,3,"with",1,"English",27,"Male","","Yes"
"576","four","one_slider","every","undefined","none","butterflies",575,1.139,3,"with",0.05,"English",32,"Female","","Yes"
"577","two","one_slider","every","undefined","many","butterflies",576,1.15178333333333,3,"without",0.86,"English",31,"Female","","Yes"
"580","four","one_slider","every","undefined","all","dinosaurs",579,1.42293333333333,3,"without",0.99,"english",60,"Male","","Yes"
"581","four","one_slider","every","undefined","all","lions",580,1.78423333333333,3,"with",0.98,"English",34,"Female","","Yes"
"582","four","one_slider","every","undefined","none","dinosaurs",581,1.80423333333333,3,"with",0.98,"English",29,"Male","","Yes"
"583","two","one_slider","every","undefined","none","dinosaurs",582,2.1019,3,"without",0,"English",25,"Female","There was a spelling error in the HIT. I believe it said ""oraganize"".","Yes"
"584","two","one_slider","every","undefined","many","frogs",583,2.93448333333333,3,"with",0.97,"English",34,"Female","","Yes"
"589","four","one_slider","every","undefined","none","dinosaurs",588,2.10816666666667,3,"with",0,"ENGLISH",50,"Female","","Yes"
"590","two","one_slider","every","undefined","none","frogs",589,2.29708333333333,3,"without",0.75,"English",26,"Female","It was a little confusing only because there was no straight answer and it was worded weird what the elephant said so kind of strange to have to answer in a black and white way like that.","Yes"
"594","four","one_slider","every","undefined","many","butterflies",593,1.96708333333333,3,"without",0.76,"English",53,"Male","","Yes"
"597","four","one_slider","every","undefined","none","lions",596,2.55821666666667,3,"with",0,"English",32,"Female","","Yes"
"598","four","one_slider","every","undefined","none","frogs",597,2.25756666666667,3,"without",0.99,"English",70,"Female","different and interesting","Yes"
"599","four","one_slider","every","undefined","none","frogs",598,2.52656666666667,3,"without",0.51,"English",23,"Female","It was interesting. I would argue that ""Every frog didn't jump over the rock"" could mean either ""Not any of the frogs jumped over the rock"" or ""Some frogs jumped over the rock but not every frog did."" ","Yes"
